Cust_Id,Product,Rating (1-5),Review Title,Full Review Text
CUST1001,Phone Case,4,Works as expected,"Easy to use and performs exactly as described. I have been using the phone case for a few days. Overall, my experience is positive."
CUST1002,Laptop Stand,2,Cheap quality,"The material feels flimsy and not worth the price. I have been using the laptop stand for a few days. Overall, my experience is disappointing."
CUST1003,Phone Case,3,Damaged package,"The box was damaged when it arrived although the item still worked. I have been using the phone case for a few days. Overall, my experience is mixed."
CUST1004,Phone Case,5,Amazing product,"Exceeded my expectations in every way. I have been using the phone case for a few days. Overall, my experience is positive."
CUST1005,Wireless Mouse,2,Cheap quality,"The material feels flimsy and not worth the price. I have been using the wireless mouse for a few days. Overall, my experience is disappointing."
CUST1006,Water Bottle,5,Excellent value,"Great quality for the price. Highly recommended. I have been using the water bottle for a few days. Overall, my experience is positive."
CUST1007,Backpack,5,Easy to install,"Setup took only a few minutes and everything worked. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1008,Bluetooth Speaker,2,Cheap quality,"The material feels flimsy and not worth the price. I have been using the bluetooth speaker for a few days. Overall, my experience is disappointing."
CUST1009,Laptop Stand,2,Poor battery,"Battery life is much shorter than advertised. I have been using the laptop stand for a few days. Overall, my experience is disappointing."
CUST1010,Phone Case,3,Damaged package,"The box was damaged when it arrived although the item still worked. I have been using the phone case for a few days. Overall, my experience is mixed."
CUST1011,Bluetooth Speaker,5,Easy to install,"Setup took only a few minutes and everything worked. I have been using the bluetooth speaker for a few days. Overall, my experience is positive."
CUST1012,Laptop Stand,2,Cheap quality,"The material feels flimsy and not worth the price. I have been using the laptop stand for a few days. Overall, my experience is disappointing."
CUST1013,Coffee Maker,4,Good customer service,"Support team resolved my issue quickly. I have been using the coffee maker for a few days. Overall, my experience is positive."
CUST1014,Backpack,4,Works as expected,"Easy to use and performs exactly as described. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1015,Phone Case,5,Easy to install,"Setup took only a few minutes and everything worked. I have been using the phone case for a few days. Overall, my experience is positive."
CUST1016,Bluetooth Speaker,3,Late delivery,"The product arrived several days later than expected, but it works fine. I have been using the bluetooth speaker for a few days. Overall, my experience is mixed."
CUST1017,Coffee Maker,4,Works as expected,"Easy to use and performs exactly as described. I have been using the coffee maker for a few days. Overall, my experience is positive."
CUST1018,Wireless Mouse,4,Works as expected,"Easy to use and performs exactly as described. I have been using the wireless mouse for a few days. Overall, my experience is positive."
CUST1019,Backpack,5,Easy to install,"Setup took only a few minutes and everything worked. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1020,Backpack,4,Works as expected,"Easy to use and performs exactly as described. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1021,Backpack,5,Amazing product,"Exceeded my expectations in every way. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1022,Wireless Mouse,2,Poor battery,"Battery life is much shorter than advertised. I have been using the wireless mouse for a few days. Overall, my experience is disappointing."
CUST1023,Bluetooth Speaker,2,Cheap quality,"The material feels flimsy and not worth the price. I have been using the bluetooth speaker for a few days. Overall, my experience is disappointing."
CUST1024,Headphones,4,Works as expected,"Easy to use and performs exactly as described. I have been using the headphones for a few days. Overall, my experience is positive."
CUST1025,Laptop Stand,5,Easy to install,"Setup took only a few minutes and everything worked. I have been using the laptop stand for a few days. Overall, my experience is positive."
CUST1026,Headphones,4,Good customer service,"Support team resolved my issue quickly. I have been using the headphones for a few days. Overall, my experience is positive."
CUST1027,Water Bottle,2,Poor battery,"Battery life is much shorter than advertised. I have been using the water bottle for a few days. Overall, my experience is disappointing."
CUST1028,Bluetooth Speaker,4,Good customer service,"Support team resolved my issue quickly. I have been using the bluetooth speaker for a few days. Overall, my experience is positive."
CUST1029,Bluetooth Speaker,2,Cheap quality,"The material feels flimsy and not worth the price. I have been using the bluetooth speaker for a few days. Overall, my experience is disappointing."
CUST1030,Phone Case,3,Late delivery,"The product arrived several days later than expected, but it works fine. I have been using the phone case for a few days. Overall, my experience is mixed."
CUST1031,Backpack,5,Excellent value,"Great quality for the price. Highly recommended. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1032,Laptop Stand,2,Poor battery,"Battery life is much shorter than advertised. I have been using the laptop stand for a few days. Overall, my experience is disappointing."
CUST1033,Coffee Maker,4,Works as expected,"Easy to use and performs exactly as described. I have been using the coffee maker for a few days. Overall, my experience is positive."
CUST1034,Backpack,2,Cheap quality,"The material feels flimsy and not worth the price. I have been using the backpack for a few days. Overall, my experience is disappointing."
CUST1035,Coffee Maker,4,Good customer service,"Support team resolved my issue quickly. I have been using the coffee maker for a few days. Overall, my experience is positive."
CUST1036,Headphones,5,Excellent value,"Great quality for the price. Highly recommended. I have been using the headphones for a few days. Overall, my experience is positive."
CUST1037,Phone Case,3,Late delivery,"The product arrived several days later than expected, but it works fine. I have been using the phone case for a few days. Overall, my experience is mixed."
CUST1038,Backpack,3,Damaged package,"The box was damaged when it arrived although the item still worked. I have been using the backpack for a few days. Overall, my experience is mixed."
CUST1039,Water Bottle,3,Damaged package,"The box was damaged when it arrived although the item still worked. I have been using the water bottle for a few days. Overall, my experience is mixed."
CUST1040,Backpack,5,Easy to install,"Setup took only a few minutes and everything worked. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1041,Backpack,4,Good customer service,"Support team resolved my issue quickly. I have been using the backpack for a few days. Overall, my experience is positive."
CUST1042,Laptop Stand,5,Excellent value,"Great quality for the price. Highly recommended. I have been using the laptop stand for a few days. Overall, my experience is positive."
CUST1043,Wireless Mouse,1,Wrong item,"Received a different item than what I ordered. I have been using the wireless mouse for a few days. Overall, my experience is disappointing."
CUST1044,Water Bottle,2,Poor battery,"Battery life is much shorter than advertised. I have been using the water bottle for a few days. Overall, my experience is disappointing."
CUST1045,Phone Case,3,Late delivery,"The product arrived several days later than expected, but it works fine. I have been using the phone case for a few days. Overall, my experience is mixed."
